timestamp,event_value,sensor_value
2019-04-04 17:04:33.551227,scr_on,scr_on_obsrv
2019-04-04 17:23:36.939917,door_on,door_on_obsrv
2019-04-04 17:23:47.660324,door_off,door_off_obsrv
2019-04-04 17:23:53.761029,door_on,door_on_obsrv
2019-04-04 17:23:59.707925,door_off,door_off_obsrv
2019-04-04 17:25:38.590139,door_on,door_on_obsrv
2019-04-04 17:25:44.037609,door_off,door_off_obsrv
2019-04-04 17:31:02.006554,scr_off,scr_off_obsrv
2019-04-04 17:39:18.002539,door_on,door_on_obsrv
2019-04-04 17:39:22.880691,light_off,light_off_obsrv
2019-04-04 17:39:30.078263,door_off,door_off_obsrv
2019-04-04 18:00:00.000261,cam_on,cam_on_obsrv
2019-04-04 18:00:15.051946,rad_on,rad_on_obsrv
2019-04-04 18:00:32.475663,fan_on,fan_on_obsrv
2019-04-04 18:02:05.829243,pc_off,pc_off_no_obsrv
2019-04-04 18:02:07.006750,scr_off,scr_off_obsrv
2019-04-04 18:02:24.777478,fan_off,fan_off_obsrv
2019-04-04 18:32:27.045056,rad_off,rad_off_obsrv
2019-04-04 19:00:00.000374,cam_off,cam_off_obsrv
2019-04-04 19:32:15.159432,shd_down,shd_down_obsrv
2019-04-04 20:00:00.000089,cam_on,cam_on_obsrv
2019-04-04 20:00:34.704421,fan_on,fan_on_obsrv
2019-04-04 20:01:10.097060,pc_on,pc_on_no_obsrv
2019-04-04 20:01:11.166677,scr_on,scr_on_obsrv
2019-04-04 20:02:17.250104,fan_off,fan_off_obsrv
2019-04-04 20:05:00.175528,shd_up,shd_up_obsrv
2019-04-04 20:31:00.042627,fan_on,fan_on_obsrv
2019-04-04 20:33:00.111840,shd_down,shd_down_obsrv
2019-04-04 20:33:01.019441,fan_off,fan_off_obsrv
2019-04-04 20:33:11.208045,scr_off,scr_off_obsrv
2019-04-04 21:00:00.000802,cam_off,cam_off_obsrv
2019-04-04 21:00:01.905289,fan_on,fan_on_obsrv
2019-04-04 21:00:49.169663,scr_on,scr_on_obsrv
2019-04-04 21:02:22.107550,fan_off,fan_off_obsrv
2019-04-04 21:04:59.107321,shd_up,shd_up_obsrv
2019-04-04 21:30:53.993591,fan_on,fan_on_obsrv
2019-04-04 21:32:11.781419,scr_off,scr_off_obsrv
2019-04-04 21:32:43.077998,fan_off,fan_off_obsrv
2019-04-04 22:00:00.000230,cam_on,cam_on_obsrv
2019-04-04 22:00:11.570325,fan_on,fan_on_obsrv
2019-04-04 22:01:22.514576,pc_off,pc_off_obsrv
2019-04-04 22:01:22.786549,scr_off,scr_off_obsrv
2019-04-04 22:02:27.540208,fan_off,fan_off_obsrv
2019-04-04 22:03:27.139556,rad_on,rad_on_obsrv
2019-04-04 22:16:10.110548,rad_off,rad_off_obsrv
2019-04-04 22:30:21.004049,fan_on,fan_on_obsrv
2019-04-04 22:32:02.109748,fan_off,fan_off_obsrv
2019-04-04 23:00:00.001643,cam_off,cam_off_obsrv
2019-04-04 23:00:58.449462,fan_on,fan_on_obsrv
2019-04-04 23:02:44.051014,fan_off,fan_off_obsrv
2019-04-04 23:30:20.962496,fan_on,fan_on_obsrv
2019-04-04 23:32:46.242792,fan_off,fan_off_obsrv
